CustomerName,CustomerCountry,ReviewRating,ReviewTitle,ReviewContent,DateVisited,Duration,DateReview,TripType,RoomType
haruka,United States,10.0 Exceptional,The shuttle bus between LAX is convenient.,I stayed overnight for an early morning flight the next day. The shuttle bus departs frequently from the front of the hotel. It was nice to have good timing without having to wait. I heard the microwave is located in the shared space on the first floor. The facility was clean and the staff were friendly.,October 2024,1,"October 23, 2024",Solo traveler,2 Double Hearing Accessible
Eduvie,United States,10.0 Exceptional,Very good location ,"I would recommend this hotel to Family and Friends due to the fact that it is in the best location, in which you can connect with the bus and metro very easily, it is clean very nice and helpful staffs please with the service provided.",October 2024,11,"November 06, 2024",Family with teens,2 Double Beds
승아,United States,10.0 Exceptional,Good proximity to the airport and free shuttle to the airport.,"I had to get a PCR test before departing for Korea, so I made a reservation here. There was a free shuttle bus, making it easy to go for the test, and there was a separate area with computers available for printing, so I was able to print the test results as well. The free shuttle operates 24 hours, and the rooms are spacious and clean, so I was completely satisfied.",January 2022,1,"January 21, 2022",Family with teens,2 Double Hearing Accessible
Clint,United States,8.8 Excellent,Great experience,"Enjoyable stay, great location close to the airport & friendly staff",March 2025,1,"March 09, 2025",Solo traveler,2 Double Beds Runway View
Daniela,United States,10.0 Exceptional,Practical and convenient ,There’s a bistro with food for takeout at affordable prices.,February 2025,1,"March 07, 2025",Family with teens,2 Double Hearing Accessible
buddhike,United States,9.6 Exceptional,Good Airport hotel,"Airport shuttle service is great. They upgrade our room. ""Aviation century"" metro train 100m from the hotel. You can catch the metro to Santa Monica beach or downtown LA. Only con was drug addicts and homeless people walking on the street and stay safe while outside the hotel. ( very common in LA ) Other than that excellent choice.",February 2025,1,"February 25, 2025",Couple,2 Double Beds
Victoria,United States,10.0 Exceptional,Fantastic,"Great location, close to airport, free airport shuttle",February 2025,1,"February 24, 2025",Solo traveler,2 Double Beds
Michelle,United States,9.2 Exceptional,Conveniently located,"When in LAX or during layovers, you can depend on this hotel for transient stay. They have free shuttle.",December 2024,1,"February 18, 2025",Couple,2 Double Beds
Randy,United States,9.6 Exceptional,Exceptional,bougght some food got real sick from eating food from the resturant,October 2024,1,"February 18, 2025",Couple,2 Double Beds
Zachary,United States,9.2 Exceptional,Will go again,"Really nice place, fantastic service, did not stay but half a day but it was still quite the good experience",January 2025,1,"January 25, 2025",Solo traveler,2 Double Beds
Josephine,United States,8.0 Excellent,Very nice stay,We have enjoyed our stay,July 2024,1,"January 03, 2025",Family with young children,2 Double Hearing Accessible
Suphakrit,United States,2.0,"My room so smells,","My room so smells, I would like to change new hotel quickly today.",December 2024,1,"December 19, 2024",Couple,2 Double Beds Runway View
Marjorie,United States,8.8 Excellent,location location location,"very near airport, shuttle service a plus for convenience",October 2024,1,"December 09, 2024",Solo traveler,2 Double Hearing Accessible
Takuya,United States,8.4 Excellent,Conveniently located close to LAX,"Overnight stay before my outbound flight from LAX. The most I liked during stay was swimming pool as I was able to relax and ease mastle fatigue. I planned to park a rental car overnight but divided to return prior night as both valet and self parking was extremely pricy USD55-65 per night. Since thry provide free airport shuttle, I can return the car at the airport and back to hotel without extra cost. The 24hrs convenience store in the hotel was a good option to me though they mishandled my credit card making me to file a investigation with credit card company afterwards.",November 2024,1,"December 07, 2024",Business traveler,2 Double Beds
jovensyl,United States,10.0 Exceptional,Everything is Great,"Nice hotel, near the airport and away from busy street of the city",November 2024,1,"December 05, 2024",Couple,2 Double Beds
Jesse,United States,9.6 Exceptional,Good place to stay at the airport,Friendly staff and convenient airport shuttle. Clean but a bit dated.,November 2024,1,"November 24, 2024",Solo traveler,1 King Bed Runway View
JEANIE,United States,5.2,Terrible service,"Stayed there for one night, location is good for travelers going to the AP, no complimentary water, bistro staff was rude. I would never ever stay in a Hilton hotel. So fellow travelers, there are other hotels that can provide better service.",November 2024,1,"November 22, 2024",Couple,2 Double Hearing Accessible
Ross,United States,8.8 Excellent,Good ,Very clean and well priced. Parking is a bit of a pain. Location is decent but not ideal.,September 2024,2,"November 13, 2024",Group,2 Double Beds
Rosamel,United States,7.6 Very good,Short Stay,This was only short stay but overall it was ok,January 2024,3,"November 10, 2024",Couple,1 King Bed
Mark,United States,10.0 Exceptional,Runway view room is great + free shuttle ,We used this on both ends of a trip from Asia. Was good value!,November 2024,1,"November 09, 2024",Family with young children,1 King Bed Runway View
Mensielito,United States,9.2 Exceptional,Overnight Stay,Great place for a short stay if you have an early morning flight to catch.,December 2023,1,"November 04, 2024",Solo traveler,1 King Accessible with Roll in Shower
Mitesh,United States,9.2 Exceptional,Great Stay,Few minutes away from LAX. Convenient to walk towards nearby areas and superior quality of service.,November 2024,1,"November 04, 2024",Solo traveler,2 Double Beds
Dr.,United States,6.4 Good,Close to airport ,Close to airport for a short layover. Free shuttle. Cafe in hotel is rather expensive- more than US$ 7.50 for a small bottle of milk. Not a very nice neighborhood.,October 2024,1,"October 28, 2024",Couple,2 Double Beds
Aiden,United States,9.6 Exceptional,Parking fee,I don't understand why i pay parking fee even insue this hotel! and this price is 1/4 of room price! it's unsuitable i thought,October 2024,1,"October 22, 2024",Business traveler,2 Double Beds
James,United States,8.4 Excellent,Great location for LAX,"We used the hotel for a 1 night layover between flights. The room was large and comfortable, although it could use some updating in the bathroom! The location is excellent for LAX. Free shuttle service. We would recommend.",October 2024,1,"October 17, 2024",Couple,2 Double Beds
Alexander,United States,9.6 Exceptional,Nice stay and very good for families ,"2 Adults with 2 kids (5 and 3 years old) This hotel is very good for families. We arrived late at LAX. We used the hotel shuttle to the hotel, it was only a 10mins ride. The hotel is big, still modern and the double queen room was enough for us. Breakfast was nice. All the staff was very kind and helpful. Best thing when you travel with kids. The outdoor pool and hot tub are heated. Our kids have been in the pool the whole morning until we got our rental car to start our road trip. I can definitely recommend this hotel. In comparison to the other hotels in the region it has a good price. If you are from Europe, don’t compare US prices for hotels with prices in Europe. It’s just more expensive in the US.",October 2024,1,"October 16, 2024",Family with young children,2 Double Beds
Kyungju,United States,8.8 Excellent,Good location,It was really good and comfortable But the room was hot.. It was a pity that there was no air conditioner Everything else is good and I want to go back and stay,March 2024,1,"October 10, 2024",Couple,1 King Bed
Jamie,United States,8.8 Excellent,Good for layover stay,"I stay one night here. I got a room on third floor with a very cool big yard and accessible back door. Room wise, nothing special, water pressure was so bad that i can’t really have a proper shower. I realised most of the hotel here don’t provide room slippers and no hot water facility in the room too. What i love is frequent free airport shuttle bus to/from the hotel. The bus drivers are so kind that they would help everyone with the luggage on and off the bus. However, do remember to plan in advance if you need to catch the morning flight because traffic near the airport is terrible. Shuttle bus will go from terminal 1 to terminal 7 and if you are departing from terminal 7 you need to give some extra time for the traffic. Overall, pleasant one night stay for me.",October 2024,1,"October 10, 2024",Business traveler,2 Double Beds
WON,United States,10.0 Exceptional,Exceptional,Very nice n clean!,October 2024,1,"October 07, 2024",Couple,2 Double Hearing Accessible
GERARDO,United States,7.2 Very good,Hilton ,God hotel unfortunately too expensive,April 2024,1,"October 06, 2024",Couple,1 King Runway View With Mobility Accessible Tub
Jo,United States,8.0 Excellent,Good Stay,We had a good stay - Hotel itself seemed very up market on entry but rooms let it down a bit. Our bath tap leaked water and the noise from not only the airplanes taking off but the people in the hall talking and shutting doors disturbed a lot so not very soundproof. The pool looked a little dirty but overall a good stay for a night close to the airport for early morning flights,September 2024,1,"September 30, 2024",Family with teens,2 Double Beds
Jess,United States,6.0,3 star stay,"Free shuttle from LAX was decent. Some of the rooms smelled (other friends stayed at the hotel). Bar prices high, good location, would stay here again only if the price was right.",April 2024,1,"September 28, 2024",Couple,1 King Bed
Elizabeth,United States,9.2 Exceptional,Exceptional,"Great location, and very helpful staff.",September 2024,1,"September 24, 2024",Solo traveler,1 King Bed
Wenshan,United States,6.8 Good,Normal hotel ,"Stay in this hotel just for a night. Even though it provides very convenient airport transportation service, the normal hotel facility is still overvalued. Besides that, the sink in restroom was filled by a lot dirty filthy stuff poured out of sewers.",September 2024,1,"September 22, 2024",Group,2 Double Beds
Rogelio,United States,9.6 Exceptional,Great location,Staff friendly and location is convenient. Also 3 restaurants to choose from.,September 2024,1,"September 11, 2024",Solo traveler,2 Double Beds
Matthew,United States,7.2 Very good,Quick stop after a 16 hour flight,"Decided to stay here a 2nd time as we arrived late after a long flight and last time we went straight for the car pick up which was a total nightmare and took 5 hours and we still didn't get the car so decided to bed down here and go the next day. Clean and easy, free bus at the airport, just go up ome level from departures",September 2024,1,"September 11, 2024",Couple,1 King Bed Runway View
Tiffany,United States,7.2 Very good,Reasonable place to stay for next day flight,"Decent facilities: airport shuttle, pool, secure luggage storage however rooms a little dated: soft-medium bed, smaller-sized bathroom and we didn't have a mini bar fridge during our stay so was unable to keep items cool overnight. The hotel doe have a ice service so used that instead.",September 2024,1,"September 07, 2024",Couple,1 King Bed
Elizabeth,United States,10.0 Exceptional,Perfect location for quick stopover,"Nice big rooms, excellent location and complimentary shuttle to and from LAX.",September 2024,1,"September 06, 2024",Couple,1 King Bed Runway View
Milo,United States,7.2 Very good,good as can get,the staff did the best they could do to make my trip enjoyable. but there some thing only upper mangerment could do. that why i didnt give 5 stars,August 2024,3,"September 03, 2024",Couple,2 Double Hearing Accessible
Genghis,United States,9.2 Exceptional,Los Angeles Vacation,Great stay!,August 2024,2,"August 23, 2024",Family with young children,2 Double Hearing Accessible
